stpuma,hhi3cl182018,hhi3cl18_med2018,hhi3cl182019,hhi3cl18_med2019
2602701,149164.39,118554.2,143217.73,107739.38
2602702,119197.3,85309.969,141080.16,100764.3
2602703,92041.664,68975.688,102624.15,74438.117
2602800,120250.98,100346.75,127390.47,108433.04
2602901,132612.95,105042.02,134874.7,116402.11
2602902,141371.27,107402.06,150661,117705.77
2602903,154373.63,122047.8,151894.25,132340.23
2602904,88929.883,67247.898,88519.688,69841.266
2602905,145602.91,110346.64,148842.22,108343.49
2602906,192003.86,143243.44,213710.84,149042.09
2602907,109866.56,92436.977,117499.42,94383.938
2602908,105308.83,91341.266,109346.65,85505.172
2603001,104343.94,89915.969,113221.75,101303.03
2603002,120319.81,105042.02,119264.77,109719.3
2603003,83978.047,64324.836,97567.344,86107.578
2603004,88419.445,77869.516,86483.469,70278.984
2603005,86555.523,67155.133,85744.898,73574.617
2603006,76972.961,64324.836,81489.711,67991.531
2603100,89853.398,73648.547,93585.773,78474.508
2603201,126947.09,105524.11,143687.75,113731.17
2603202,99324.523,87184.875,103899.55,89540.078
2603203,74652.391,57892.355,77486.953,58201.055
2603204,71381.75,64075.633,73592.172,65964.086
2603205,80960.539,66862.258,86486.5,69265.953
2603206,99836.289,88239.984,104694.3,93032.141
2603207,79228.93,65406.754,75355.094,65720.344
2603208,49119.285,37958.91,52742.988,41098.895
2603209,61110.313,48395.539,61353.914,47232.539
2603210,44761.852,39285.715,50572.328,38860.395
2603211,64568.695,38752.82,72055.453,53724.047
2603212,38224.895,27231.393,53287.137,44458.551
2603213,117132.88,67145.438,103014.61,63694.285
2603300,99582.438,80803.688,101523.26,88649.492
